Общее,,,,,,,,Пласт,,,,,Режим,,,,,,,,,,,Даты,,Потенциал,,,Жидкость,,,,,,Месяц,,,,Насос,,,,,,,Скважина,,,Пакер,,,Давление,,,,,,Дополнительно
,Номер скважины,Куст,Дата,Состояние,СЭ,Рентабельность,,Пласт,Hвд,Удл.,H пер.,Н эфф.,Qн,Qж,%,Р(заб),Pпл,KH,Кпр,Kпрон,Скин-фактор,Rc,H дин,Пуски,Остановки,Qн,Qж,Qж (Д),Газовый фактор,Вязкость,Плотность нефти,Коб,Вязкость жидкости,Плотность воды,Нефть,Жидкость,Т раб,Т нак,Дата,Насос,Произв-ть,Hспуск,Напор,Гц,Текущие,Dэ/к,Dнкт,Dшт,Дата,Пакер,Hпак,Рбуф,Р лин.,Р затр.,Рприем,Н стат,Рзатр при Нстат,Примечание
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","47,0","55,8","1,0","124,0","135,7","799,9","4,96","52,6","0,0",250,,8/25/2020,8/20/2020,47,56,56,1552,"1,05","0,850","1,176","1,05","1,005",1456,1730,744,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"97,0","26,0","110,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,апр..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","152,5","195,0","8,0","132,1","163,2","1126,1","6,80","0,9","0,0",250,,8/18/2019,8/6/2019,152,195,195,1400,"1,05","0,850","1,176","1,08","1,005",4568,5842,719,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"82,0","24,0","111,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","105,0","126,0","2,0","146,3","166,3","1056,2","6,52","1,4","0,0",250,,3/14/2020,2/29/2020,105,126,126,1975,"1,05","0,850","1,176","1,06","1,005",3149,3780,720,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"95,0","29,6","110,0","140,6",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","48,5","57,6","1,0","124,0","135,7","825,7","5,12","54,3","0,0",250,,8/25/2020,8/20/2020,48,58,58,1561,"1,05","0,850","1,176","1,05","1,005",1454,1728,720,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"97,0","23,0","111,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,мар..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","157,2","201,0","8,0","135,1","163,2","1276,2","7,71","1,1","0,0",250,,8/18/2019,8/6/2019,157,201,201,1410,"1,05","0,850","1,176","1,08","1,005",4873,6231,744,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"79,0","27,0","110,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","111,6","134,0","2,0","146,3","163,1","1352,8","8,35","1,8","0,0",250,,3/14/2020,2/29/2020,112,134,134,1889,"1,05","0,850","1,176","1,06","1,005",3460,4154,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"95,0","29,7","110,0","141,0",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","46,2","54,9","1,0","124,0","131,3","1244,1","7,71","81,9","0,0",250,,8/25/2020,8/20/2020,46,55,55,1655,"1,05","0,850","1,176","1,05","1,005",1432,1702,744,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"95,0","25,0","115,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,февр..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","156,4","205,0","10,3","132,4","159,0","1379,4","8,26","1,2","0,0",250,,8/18/2019,8/6/2019,156,205,205,1461,"1,05","0,850","1,176","1,09","1,005",4379,5740,672,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"78,0","25,0","110,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","104,3","124,0","1,0","145,3","163,1","1175,8","7,29","1,5","0,0",250,,3/14/2020,2/29/2020,104,124,124,1973,"1,05","0,850","1,176","1,05","1,005",2922,3472,672,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"92,0","28,3","110,0","139,9",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","46,2","54,9","1,0","124,0","131,3","1244,1","7,71","81,9","0,0",250,,8/25/2020,8/20/2020,46,55,55,1693,"1,05","0,850","1,176","1,05","1,005",1294,1537,672,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"95,0","25,0","115,0","0,0",0,"0,000",
