Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
139R,08.01.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2030.0,2034.0,1969.6,1973.6,1969.6,1973.6,12,Да
202R,26.08.1988,Ю2-6,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,2030.0,2090.0,1987.7,2047.7,1987.7,2047.6,0,Частично
122R,28.09.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2031.0,2065.0,1995.7,2029.7,1995.6,2029.6,0,Нет
122R,18.02.2019,Ю2-6,,ЗАЛИВКА,,0,2031.0,2065.0,1995.7,2029.7,1995.6,2029.6,0,Нет
67R,25.06.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2031.0,2041.0,1986.7,1996.7,1986.7,1996.7,6,Да
145R,08.01.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пр-54,90,2032.0,2041.0,1980.2,1989.2,1980.1,1989.1,10,Да
60R,01.04.1966,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКР-65+ПК-103,320,2032.0,2048.0,1983.1,1999.1,1983.1,1999.1,20,Да
112R,31.10.1986,НП8,,ПЕРВИЧ.ПЕРФ.,ПР-43,40,2033.0,2037.0,2002.9,2006.9,2002.9,2006.9,10,Да
111R,20.12.1982,НП7,,ПЕРВИЧ.ПЕРФ.,ПКО-89,48,2034.0,2038.0,1989.4,1993.4,1989.4,1993.4,12,Да
118R,16.08.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2034.0,2040.0,1982.5,1988.4,1982.5,1988.5,12,Да
143R,10.10.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,180,2035.0,2044.0,1976.7,1985.7,1976.7,1985.7,20,Да
146R,25.02.1984,Ю2-6,,ЩЕЛ.ФИЛЬТР ХВОСТ,ВП-110+ЦЕМЕНТНЫЙ МОСТ,0,2036.0,2038.0,1990.2,1992.2,1990.2,1992.2,0,Нет
61R,25.04.1967,Ю2-6,,ДОСТРЕЛ,,200,2036.0,2056.0,1981.1,2001.1,1981.1,2001.1,10,Да
64R,15.05.1969,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2036.0,2046.0,1992.4,2002.4,1992.4,2002.4,0,Да
95R,04.12.1983,НП8,,ПЕРВИЧ.ПЕРФ.,,96,2036.0,2044.0,1996.1,2004.1,1996.2,2004.2,12,Нет
95R,11.12.1983,НП8,,ЗАЛИВКА,,0,2036.0,2044.0,1996.1,2004.1,1996.2,2004.2,0,Нет
83R,04.10.1979,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2037.0,2045.0,1992.8,2000.8,1992.8,2000.8,12,Да
146R,01.02.1984,Ю2-6,,ДОСТРЕЛ,Пкс-80,0,2039.0,2044.0,1993.2,1998.2,1993.2,1998.2,0,Нет
146R,09.02.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,0,2039.0,2048.0,1993.2,2002.2,1993.2,2002.2,0,Нет
156R,30.10.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,60,2039.0,2045.0,1987.3,1993.3,1987.3,1993.3,10,Да
59R,15.06.1969,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пк-103,70,2039.0,2046.0,1993.7,2000.7,1993.6,2000.6,10,Нет
59R,19.06.1969,Ю2-6,,ЗАЛИВКА,,0,2039.0,2046.0,1993.7,2000.7,1993.6,2000.6,0,Нет
202R,18.12.2014,Ю2-6,,ДОСТРЕЛ,,4,2039.6,2040.0,1997.3,1997.7,1997.2,1997.7,10,Да
124R,19.04.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,132,2040.0,2051.0,1981.2,1992.2,1981.2,1992.2,12,Да
132R,07.02.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2040.0,2048.0,1988.5,1996.5,1988.5,1996.5,12,Да
139R,17.12.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2040.0,2046.0,1979.6,1985.6,1979.6,1985.6,12,Да
157R,26.08.1987,Ю2-6,,ПЕРЕСТРЕЛ,Пр-54,200,2040.0,2060.0,1993.8,2013.8,1993.8,2013.8,10,Да
202R,04.04.2013,Ю2-6,,ДОСТРЕЛ,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,580,2040.0,2069.0,1997.7,2026.7,1997.7,2026.6,20,Да
202R,14.04.2013,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,580,2040.0,2069.0,1997.7,2026.7,1997.7,2026.6,20,Да
202R,18.12.2014,Ю2-6,,ПЕРЕСТРЕЛ,,870,2040.0,2069.0,1997.7,2026.7,1997.7,2026.6,30,Да
202R,18.02.2015,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,870,2040.0,2069.0,1997.7,2026.7,1997.7,2026.6,30,Да
78R,03.06.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,98,2040.0,2054.0,1996.3,2010.3,1996.3,2010.3,7,Да
140R,17.06.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2042.0,2071.8,1994.4,2024.3,1994.4,2024.2,0,Да
164R,26.12.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2042.0,2049.0,1997.8,2004.8,1997.7,2004.7,12,Да
167R,07.11.2014,Ю2-6,,ДОСТРЕЛ,ПКО-89АТ,60,2042.0,2048.0,1996.9,2002.9,1996.9,2002.9,10,Да
79R,21.12.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,56,2042.0,2050.0,2022.9,2030.9,2022.9,2030.9,7,Да
134R,26.06.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2043.0,2048.0,1994.7,1999.7,1994.7,1999.7,12,Да
109R,29.05.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКО-89,120,2044.0,2054.0,2024.3,2034.3,2024.2,2034.2,12,Да
168R,01.06.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,144,2044.0,2056.0,1998.9,2010.9,1998.9,2010.9,12,Да
168R,03.05.2019,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Скорпион ПП 25 ГП (89),40,2044.0,2046.0,1998.9,2000.9,1998.9,2000.9,20,Да
129R,09.09.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,30,2045.0,2050.0,1992.0,1997.0,1992.0,1997.0,6,Да
157R,20.08.1987,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пр-54,150,2045.0,2060.0,1998.8,2013.8,1998.8,2013.8,10,Да
165R,10.02.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,132,2045.0,2056.0,2000.9,2011.9,2000.9,2011.9,12,Да
203R,07.03.2013,Ю2-6,,ДОСТРЕЛ,ЗПКТ-89НТ,166,2045.7,2054.0,2004.5,2012.8,2004.4,2012.7,20,Да
145R,26.12.1984,Ю2-6,,,Oткрытый ствол ( без фильтрa),0,2048.0,2081.0,1996.2,2029.2,1996.1,2029.1,0,Да
146R,24.01.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,0,2048.0,2056.0,2002.2,2010.2,2002.2,2010.2,0,Да
153R,18.11.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,192,2048.0,2080.0,1997.5,2029.5,1997.6,2029.6,6,Да
167R,07.09.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,170,2048.0,2065.0,2002.9,2019.9,2002.9,2019.9,10,Да
167R,18.03.2011,Ю2-6,,ПЕРЕСТРЕЛ,ЗПКТ-89НТ,340,2048.0,2065.0,2002.9,2019.9,2002.9,2019.9,20,Да
167R,06.11.2014,Ю2-6,,ПЕРЕСТРЕЛ,ЗПКТ-89НТ,220,2048.0,2059.0,2002.9,2013.9,2002.9,2013.9,20,Да
167R,07.11.2014,Ю2-6,,ПЕРЕСТРЕЛ,ПКО-89АТ,270,2048.0,2059.0,2002.9,2013.9,2002.9,2013.9,25,Да
167R,15.02.2015,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,270,2048.0,2059.0,2002.9,2013.9,2002.9,2013.9,25,Да
129R,29.08.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2049.0,2056.0,1996.0,2003.0,1996.0,2003.0,12,Да
143R,19.08.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ЩЕЛЕВОЙ ФИЛЬТР+ПКС-80,372,2049.0,2080.0,1990.7,2021.7,1990.7,2021.7,12,Да
143R,23.09.1984,Ю2-6,,,Щелевой фильтр,0,2049.0,2086.0,1990.7,2027.7,1990.7,2027.7,0,Да
166R,21.12.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2049.0,2079.0,2004.0,2034.0,2004.0,2034.0,0,Да
180R,12.03.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,80,2049.0,2057.0,1995.3,2003.3,1995.3,2003.3,10,Да
67R,19.06.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,63,2049.0,2058.0,2004.7,2013.7,2004.7,2013.7,7,Да
77R,30.09.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2049.0,2055.0,1997.0,2003.0,1997.0,2003.0,10,Да
118R,09.08.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2050.0,2058.0,1998.4,2006.4,1998.5,2006.5,12,Да
128R,01.04.1990,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,108,2050.0,2059.0,2020.9,2029.9,2020.8,2029.8,12,Да
144R,09.06.1984,Ю2-6,,,Щелевой фильтр,0,2050.0,2060.0,2021.9,2031.9,2022.1,2032.1,0,Да
144R,09.06.1984,Ю2-6,,,Щелевой фильтр,0,2050.0,2071.0,2021.9,2042.9,2022.1,2043.1,0,Да
146R,18.01.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,0,2050.0,2056.0,2004.2,2010.2,2004.2,2010.2,0,Да
80R,11.09.1968,НП7,,ПЕРВИЧ.ПЕРФ.,Пкс-80,63,2051.0,2060.0,2008.2,2017.2,2008.2,2017.2,7,Да
118R,21.03.2015,Ю2-6,,ПЕРЕСТРЕЛ,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,200,2052.0,2062.0,2000.4,2010.4,2000.5,2010.5,20,Да
118R,28.03.2015,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,0,2052.0,2062.0,2000.4,2010.4,2000.5,2010.5,0,Да
119R,28.05.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2052.0,2081.0,1990.9,2019.9,1990.9,2019.9,0,Да
134R,19.06.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2052.0,2060.0,2003.7,2011.7,2003.7,2011.7,12,Да
169R,28.05.1985,Ю2-6,,ДОСТРЕЛ,ПР-43,60,2052.0,2058.0,2008.4,2014.4,2008.3,2014.3,10,Да
169R,20.08.1985,Ю2-6,,ДОСТРЕЛ,ПР-43,140,2052.0,2066.0,2008.4,2022.4,2008.3,2022.3,10,Да
64R,10.05.1969,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пк-103,40,2052.0,2058.0,2008.4,2014.4,2008.4,2014.4,7,Да
115R,28.04.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ГПС/2,12,2053.0,2059.0,2002.5,2008.5,2002.5,2008.5,2,Да
159R,01.08.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,40,2053.0,2057.0,2008.3,2012.3,2008.3,2012.3,10,Да
164R,13.12.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2053.0,2075.4,2008.8,2031.2,2008.7,2031.0,0,Да
143R,01.04.2015,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,0,2054.0,2060.0,1995.7,2001.7,1995.7,2001.7,0,Да
155R,13.05.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2054.0,2074.0,2005.9,2025.8,2005.9,2025.9,0,Да
202R,17.08.1988,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКО-73,150,2054.0,2069.0,2011.7,2026.7,2011.6,2026.6,10,Да
202R,27.08.1988,Ю2-6,,ЗАЛИВКА,,0,2054.0,2069.0,2011.7,2026.7,2011.6,2026.6,0,Да
203R,23.03.2011,Ю2-6,,ДОСТРЕЛ,ЗПКТ-89НТ,80,2054.0,2062.0,2012.8,2020.8,2012.7,2020.6,10,Да
203R,07.03.2013,Ю2-6,,ПЕРЕСТРЕЛ,ЗПКТ-89НТ,240,2054.0,2062.0,2012.8,2020.8,2012.7,2020.6,30,Да
203R,15.04.2013,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,240,2054.0,2062.0,2012.8,2020.8,2012.7,2020.6,30,Да
72R,05.08.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пк-103,200,2054.0,2074.0,2005.8,2025.8,2005.8,2025.8,10,Да
143R,29.03.2015,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ЗПКО-102ПП-30БО+ЗПКО-102ПП-30ГП,120,2054.2,2060.2,1995.9,2001.9,1995.9,2001.9,20,Да
149R,19.10.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2055.0,2077.5,2011.0,2033.5,2011.0,2033.5,0,Нет
149R,29.08.2016,Ю2-6,,ЗАЛИВКА,,0,2055.0,2077.5,2011.0,2033.5,2011.0,2033.5,0,Нет
194R,27.03.1986,,,,Oткрытый ствол ( без фильтрa),0,2055.0,2550.0,2001.8,2496.8,2001.8,2496.6,0,Да
84R,20.05.1980,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,300,2055.0,2080.0,2006.8,2031.8,2006.9,2031.8,12,Да
86R,01.08.1980,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2055.0,2060.0,1996.7,2001.7,1996.7,2001.7,12,Да
163R,30.08.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2057.0,2079.0,1996.2,2018.2,1996.2,2018.2,0,Да
169R,06.05.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2058.0,2079.0,2014.4,2035.4,2014.3,2035.3,0,Да
169R,28.05.1985,Ю2-6,,ПЕРЕСТРЕЛ,ПР-43,80,2058.0,2066.0,2014.4,2022.4,2014.3,2022.3,10,Да
180R,07.03.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,50,2058.0,2063.0,2004.3,2009.3,2004.3,2009.3,10,Да
115R,24.04.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ГПС/2,30,2059.0,2074.0,2008.5,2023.5,2008.5,2023.5,2,Да
128R,01.04.1990,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пр-54,90,2059.0,2068.0,2029.9,2038.9,2029.8,2038.8,10,Да
167R,06.11.2014,Ю2-6,,ПЕРЕСТРЕЛ,ЗПКО-89АТ-01,180,2059.0,2065.0,2013.9,2019.9,2013.9,2019.9,30,Да
167R,15.02.2015,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,180,2059.0,2065.0,2013.9,2019.9,2013.9,2019.9,30,Да
131R,17.04.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2060.0,2064.0,2004.4,2008.4,2004.4,2008.4,12,Да
148R,05.04.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,120,2060.0,2070.0,2038.4,2048.4,2038.3,2048.3,12,Нет
148R,22.04.1984,Ю2-6,,ЗАЛИВКА,,0,2060.0,2070.0,2038.4,2048.4,2038.3,2048.3,0,Нет
148R,01.04.2015,,,ЩЕЛ.ФИЛЬТР ХВОСТ,ГРП,0,2060.0,2070.0,2038.4,2048.4,2038.3,2048.3,0,Нет
154R,14.12.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,2060.0,2070.0,2014.8,2024.8,2014.8,2024.8,12,Да
154R,14.12.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,2060.0,2070.0,2014.8,2024.8,2014.8,2024.8,12,Да
163R,30.05.1985,Ю2-6,,ВТОРИЧ.ПЕРФ.,Пкс-80,120,2060.0,2070.0,1999.2,2009.2,1999.2,2009.2,12,Да
172R,08.06.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,132,2060.0,2071.0,2009.3,2020.3,2009.2,2020.2,12,Да
83R,21.09.1979,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-105,120,2060.0,2070.0,2015.8,2025.8,2015.8,2025.8,12,Да
66R,20.04.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКР-55,195,2061.0,2074.0,2007.5,2020.5,2007.5,2020.5,15,Да
133R,06.05.1982,НП9,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2062.0,2067.0,2043.8,2048.8,2043.9,2048.9,12,Да
203R,22.12.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,80,2062.0,2070.0,2020.8,2028.8,2020.6,2028.6,10,Да
203R,23.03.2011,Ю2-6,,ПЕРЕСТРЕЛ,ЗПКТ-89НТ,160,2062.0,2070.0,2020.8,2028.8,2020.6,2028.6,20,Да
203R,07.03.2013,Ю2-6,,ПЕРЕСТРЕЛ,ЗПКТ-89НТ,314,2062.0,2070.0,2020.8,2028.8,2020.6,2028.6,39,Да
203R,15.04.2013,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,314,2062.0,2070.0,2020.8,2028.8,2020.6,2028.6,39,Да
132R,22.01.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКС-80+ПГДБК,192,2064.0,2080.0,2012.5,2028.5,2012.5,2028.5,12,Да
137R,06.08.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКС-80+ПГДБК,180,2064.0,2074.0,2006.2,2016.2,2006.2,2016.2,18,Да
159R,26.07.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,40,2064.0,2068.0,2019.3,2023.3,2019.3,2023.3,10,Да
92R,15.02.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Фильтр,3,2064.0,2075.0,2018.8,2029.7,2018.9,2029.8,0,Да
115R,16.04.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,108,2065.0,2074.0,2014.5,2023.5,2014.5,2023.5,12,Да
156R,26.10.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,40,2065.0,2069.0,2013.3,2017.3,2013.3,2017.3,10,Да
167R,06.11.2014,Ю2-6,,ДОСТРЕЛ,ЗПКО-89АТ-01,50,2065.0,2070.0,2019.9,2024.9,2019.9,2024.9,10,Да
108R,08.11.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,180,2066.0,2081.0,2019.9,2034.9,2019.8,2034.8,12,Да
123R,10.06.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,168,2066.0,2080.0,2008.4,2022.4,2008.4,2022.4,12,Да
137R,29.07.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2066.0,2074.0,2008.2,2016.2,2008.2,2016.2,12,Да
152R,06.10.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,144,2066.0,2078.0,2025.3,2037.3,2025.3,2037.3,12,Да
162R,19.08.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2066.0,2079.0,2005.2,2018.2,2005.2,2018.2,0,Да
169R,28.05.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2066.0,2079.0,2022.4,2035.4,2022.3,2035.3,0,Да
172R,04.06.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2066.0,2071.0,2015.3,2020.3,2015.2,2020.2,12,Да
180R,12.03.2015,Ю2-6,,ПЕРЕСТРЕЛ,ГРП,0,2066.0,2086.0,2012.3,2032.3,2012.3,2032.3,0,Да
79R,12.11.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,30,2066.0,2071.0,2046.9,2051.9,2046.9,2051.9,6,Да
85R,26.08.1980,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2066.0,2074.0,2015.1,2023.1,2015.2,2023.2,12,Да
96R,14.08.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,0,2066.0,2074.0,2042.7,2050.7,2042.7,2050.7,0,Да
180R,26.02.2015,Ю2-6,,ПЕРЕСТРЕЛ,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,396,2066.2,2086.0,2012.5,2032.3,2012.5,2032.3,20,Да
180R,26.02.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,108,2067.0,2076.0,2013.3,2022.3,2013.3,2022.3,12,Да
180R,07.03.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,90,2067.0,2076.0,2013.3,2022.3,2013.3,2022.3,10,Да
115R,06.04.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2068.0,2074.0,2017.5,2023.5,2017.5,2023.5,12,Да
73R,26.02.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,98,2068.0,2082.0,2016.4,2030.4,2016.4,2030.4,7,Да
104R,08.10.1982,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-105,72,2070.0,2076.0,2028.2,2034.2,2028.2,2034.2,12,Да
117R,26.02.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,168,2070.0,2084.0,2011.4,2025.4,2011.5,2025.5,12,Да
160R,07.07.1984,Ю2-6,,,Oткрытый ствол ( без фильтрa),0,2070.0,2140.0,2020.9,2090.9,2020.9,2090.9,0,Да
167R,21.05.2012,Ю2-6,,ДОСТРЕЛ,ЗПК-89АТ-М03+М10,160,2070.0,2078.0,2024.9,2032.9,2024.9,2032.9,20,Да
167R,06.11.2014,Ю2-6,,ПЕРЕСТРЕЛ,ЗПКО-89АТ-01,210,2070.0,2077.0,2024.9,2031.9,2024.9,2031.9,30,Да
80R,29.08.1968,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,35,2070.0,2075.0,2027.2,2032.2,2027.2,2032.2,7,Да
168R,04.05.1986,Ю2-6,,,Щелевой фильтр,0,2071.0,2080.0,2025.9,2034.9,2025.9,2034.9,0,Да
77R,30.09.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пк-103,90,2071.0,2080.0,2019.0,2028.0,2019.0,2028.0,10,Да
132R,10.01.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2072.0,2080.0,2020.5,2028.5,2020.5,2028.5,12,Да
67R,29.05.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2072.0,2082.0,2027.7,2037.6,2027.7,2037.7,6,Да
159R,20.07.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2073.0,2079.0,2028.3,2034.3,2028.3,2034.3,12,Да
156R,03.10.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,250,2074.0,2084.0,2022.3,2032.3,2022.3,2032.3,25,Да
66R,20.04.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,70,2074.0,2084.0,2020.5,2030.5,2020.5,2030.5,7,Да
86R,29.06.1980,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,2075.0,2085.0,2016.7,2026.7,2016.7,2026.7,12,Да
164R,10.12.1984,Ю2-6,,,Oткрытый ствол ( без фильтрa),0,2075.4,2080.0,2031.2,2035.8,2031.0,2035.6,0,Да
156R,16.10.1985,Ю2-6,,ПЕРЕСТРЕЛ,Пкс-105,60,2076.0,2086.0,2024.3,2034.3,2024.3,2034.3,6,Да
131R,09.04.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2077.0,2083.0,2021.4,2027.4,2021.4,2027.4,12,Да
167R,06.11.2014,Ю2-6,,ДОСТРЕЛ,ЗПК-89АТ-М03+М10,20,2077.0,2078.0,2031.9,2032.9,2031.9,2032.9,20,Да
170R,30.04.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2077.0,2081.0,2032.0,2036.0,2032.0,2036.0,12,Да
109R,21.05.1983,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКО-89,156,2078.0,2091.0,2058.3,2071.3,2058.2,2071.1,12,Да
125R,10.03.1984,Ю2-6,,,Oткрытый ствол ( без фильтрa),0,2079.0,2107.0,2030.9,2058.9,2030.9,2058.9,0,Да
176R,27.06.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКС-80*2+ПГДБК-5,168,2080.0,2087.0,2028.1,2035.1,2028.0,2035.0,24,Да
180R,16.02.1986,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПР-43,60,2082.0,2088.0,2028.3,2034.3,2028.3,2034.3,10,Да
78R,29.05.1968,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,42,2082.0,2088.0,2038.3,2044.3,2038.3,2044.3,7,Да
102R,03.06.1985,,,ПЕРВИЧ.ПЕРФ.,КИИ-146,0,2083.0,2230.0,2038.8,2185.8,2038.8,2185.8,0,Да
161R,14.06.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2084.0,2088.0,2037.7,2041.7,2037.8,2041.8,24,Да
61R,13.04.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,100,2086.0,2096.0,2031.1,2041.1,2031.1,2041.1,10,Да
132R,19.12.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКО-89,72,2088.0,2094.0,2036.5,2042.5,2036.5,2042.5,12,Да
132R,26.12.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,2090.0,2095.0,2038.5,2043.5,2038.5,2043.5,12,Да
60R,22.03.1966,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,220,2091.0,2110.0,2042.1,2061.1,2042.1,2061.1,12,Да
114R,16.03.1985,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2092.0,2098.0,2050.7,2056.7,2050.6,2056.6,12,Да
116R,16.11.1983,Ю2-6,,,Oткрытый ствол ( без фильтрa),0,2092.5,2206.0,2043.3,2156.7,2043.2,2156.5,0,Да
132R,29.12.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2095.0,2102.0,2043.5,2050.5,2043.5,2050.5,12,Да
66R,08.04.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,ПКР-55,60,2095.0,2099.0,2041.5,2045.5,2041.5,2045.5,15,Да
146R,18.01.1984,,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,2096.0,2180.0,2050.2,2134.2,2050.2,2134.2,0,Нет
57R,03.08.1966,НП5/1а,,ПЕРВИЧ.ПЕРФ.,,70,2097.0,2104.0,2053.3,2060.3,2053.3,2060.3,10,Да
136R,26.05.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2102.0,2109.0,2062.3,2069.3,2062.3,2069.3,12,Да
80R,17.08.1968,НП8,,ПЕРВИЧ.ПЕРФ.,Пк-103,60,2103.0,2108.0,2060.2,2065.2,2060.2,2065.2,12,Да
