Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
155R,23.12.2018,НП5/1а,,ПЕРВИЧ.ПЕРФ.,Скорпион ПП 25 ГП (89),200,1884.0,1894.0,1835.9,1845.9,1835.9,1845.9,20,Да
169R,09.05.2014,НП5-1,,ПЕРВИЧ.ПЕРФ.,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,30,1884.0,1887.0,1840.4,1843.4,1840.3,1843.3,10,Да
51R,04.09.1966,БЯ22,,ПЕРВИЧ.ПЕРФ.,Пк-103,135,1884.0,1893.0,1842.7,1851.7,1842.7,1851.7,15,Да
165R,15.05.2014,НП5-1,,ПЕРВИЧ.ПЕРФ.,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,332,1884.4,1901.0,1840.3,1856.9,1840.3,1856.9,20,Да
128R,07.06.1990,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пр-54,70,1885.0,1892.0,1855.9,1862.9,1855.8,1862.8,10,Да
144R,31.07.1984,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,30,1885.0,1890.0,1857.1,1862.1,1857.1,1862.1,6,Да
167R,25.07.2014,НП5/1а,,ПЕРВИЧ.ПЕРФ.,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,130,1885.3,1898.0,1840.2,1852.9,1840.2,1852.9,10,Нет
167R,20.02.2015,НП5/1а,,ПЕРЕСТРЕЛ,ГРП,130,1885.3,1898.0,1840.2,1852.9,1840.2,1852.9,10,Нет
178R,11.12.1985,БЯ23,,ПЕРВИЧ.ПЕРФ.,ПКС-80*2,144,1886.0,1892.0,1837.9,1843.9,1837.9,1843.9,24,Да
180R,13.04.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-105,270,1886.0,1901.0,1832.3,1847.3,1832.3,1847.3,18,Да
80R,19.09.1968,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,63,1886.0,1895.0,1843.2,1852.2,1843.2,1852.2,7,Да
